openmp threads = 1
openmp threads = 6
eigen threads = 1
seed = 30041
exact = 1.269353633414169e+00
n = 132, r = 1, dH = -0.00519797, is_accept = 1
n = 133, r = 0.599615, dH = 0.511468, is_accept = 0
n = 134, r = 1, dH = -0.407227, is_accept = 1
n = 135, r = 0.341479, dH = 1.07447, is_accept = 1
n = 136, r = 1, dH = -0.0832391, is_accept = 1
n = 137, r = 1, dH = -0.182561, is_accept = 1
n = 138, r = 0.905149, dH = 0.0996556, is_accept = 1
n = 139, r = 1, dH = -0.321988, is_accept = 1
n = 140, r = 0.557204, dH = 0.584824, is_accept = 0
n = 141, r = 0.908232, dH = 0.0962553, is_accept = 1
n = 142, r = 0.84283, dH = 0.17099, is_accept = 1
n = 143, r = 1, dH = -0.135717, is_accept = 1
n = 144, r = 0.717282, dH = 0.332286, is_accept = 1
n = 145, r = 0.942857, dH = 0.0588405, is_accept = 1
n = 146, r = 1, dH = -0.32747, is_accept = 1
n = 147, r = 1, dH = -0.073968, is_accept = 1
n = 148, r = 0.839763, dH = 0.174635, is_accept = 1
n = 149, r = 1, dH = -0.182893, is_accept = 1
n = 150, r = 1, dH = -0.108824, is_accept = 1
n = 151, r = 0.880799, dH = 0.126926, is_accept = 1
n = 152, r = 1, dH = -0.0235017, is_accept = 1
n = 153, r = 1, dH = -0.299308, is_accept = 1
n = 154, r = 0.545013, dH = 0.606946, is_accept = 0
n = 155, r = 0.644357, dH = 0.439503, is_accept = 1
n = 156, r = 0.536223, dH = 0.623205, is_accept = 1
n = 157, r = 1, dH = -0.459574, is_accept = 1
n = 158, r = 0.767013, dH = 0.265251, is_accept = 1
n = 159, r = 0.79109, dH = 0.234343, is_accept = 0
n = 160, r = 1, dH = -0.00913451, is_accept = 1
n = 161, r = 0.533977, dH = 0.627403, is_accept = 1
n = 162, r = 1, dH = -1.14046, is_accept = 1
n = 163, r = 0.652981, dH = 0.426207, is_accept = 1
n = 164, r = 1, dH = -0.134881, is_accept = 1
n = 165, r = 1, dH = -0.0677727, is_accept = 1
n = 166, r = 0.526074, dH = 0.642313, is_accept = 0
n = 167, r = 0.558968, dH = 0.581662, is_accept = 0
n = 168, r = 1, dH = -0.134845, is_accept = 1
n = 169, r = 0.783515, dH = 0.243965, is_accept = 0
n = 170, r = 0.634221, dH = 0.455357, is_accept = 1
n = 171, r = 0.986858, dH = 0.0132289, is_accept = 1
n = 172, r = 0.671999, dH = 0.397499, is_accept = 0
n = 173, r = 0.819504, dH = 0.199056, is_accept = 0
n = 174, r = 0.822407, dH = 0.19552, is_accept = 1
n = 175, r = 0.743596, dH = 0.296258, is_accept = 1
n = 176, r = 1, dH = -0.0154847, is_accept = 1
n = 177, r = 0.559618, dH = 0.5805, is_accept = 0
n = 178, r = 0.83011, dH = 0.186197, is_accept = 1
n = 179, r = 1, dH = -0.280266, is_accept = 1
n = 180, r = 0.544298, dH = 0.608258, is_accept = 1
n = 181, r = 1, dH = -0.990331, is_accept = 1
n = 182, r = 0.3538, dH = 1.03902, is_accept = 0
n = 183, r = 0.88956, dH = 0.117028, is_accept = 1
n = 184, r = 0.867079, dH = 0.142625, is_accept = 1
n = 185, r = 0.407132, dH = 0.898619, is_accept = 1
n = 186, r = 1, dH = -0.101721, is_accept = 1
n = 187, r = 1, dH = -0.0480368, is_accept = 1
n = 188, r = 1, dH = -0.419649, is_accept = 1
n = 189, r = 1, dH = -0.264006, is_accept = 1
n = 190, r = 1, dH = -0.0896338, is_accept = 1
n = 191, r = 1, dH = -0.152454, is_accept = 1
n = 192, r = 0.657505, dH = 0.419302, is_accept = 0
n = 193, r = 0.561929, dH = 0.57638, is_accept = 0
n = 194, r = 0.642476, dH = 0.442426, is_accept = 0
n = 195, r = 0.388079, dH = 0.946547, is_accept = 1
n = 196, r = 1, dH = -0.620272, is_accept = 1
n = 197, r = 0.41756, dH = 0.873327, is_accept = 0
n = 198, r = 0.760075, dH = 0.274338, is_accept = 1
n = 199, r = 1, dH = -0.617823, is_accept = 1
n = 200, r = 0.930974, dH = 0.0715241, is_accept = 1
n = 201, r = 0.429401, dH = 0.845364, is_accept = 0
n = 202, r = 0.759274, dH = 0.275392, is_accept = 1
n = 203, r = 1, dH = -0.187429, is_accept = 1
n = 204, r = 0.745619, dH = 0.293541, is_accept = 1
n = 205, r = 1, dH = -0.491293, is_accept = 1
n = 206, r = 0.550946, dH = 0.596118, is_accept = 1
n = 207, r = 0.6429, dH = 0.441765, is_accept = 1
n = 208, r = 1, dH = -0.00296074, is_accept = 1
n = 209, r = 1, dH = -0.0689032, is_accept = 1
n = 210, r = 1, dH = -0.34005, is_accept = 1
n = 211, r = 0.752011, dH = 0.285004, is_accept = 1
n = 212, r = 1, dH = -0.247663, is_accept = 1
n = 213, r = 0.79261, dH = 0.232424, is_accept = 1
n = 214, r = 0.97309, dH = 0.0272785, is_accept = 1
n = 215, r = 0.811415, dH = 0.208975, is_accept = 0
n = 216, r = 0.979353, dH = 0.0208631, is_accept = 1
n = 217, r = 0.920397, dH = 0.0829507, is_accept = 0
n = 218, r = 0.703693, dH = 0.351413, is_accept = 1
n = 219, r = 0.547113, dH = 0.603099, is_accept = 1
n = 220, r = 1, dH = -0.868139, is_accept = 1
n = 221, r = 1, dH = -0.150209, is_accept = 1
n = 222, r = 0.893495, dH = 0.112614, is_accept = 1
n = 223, r = 1, dH = -0.130663, is_accept = 1
n = 224, r = 1, dH = -0.572089, is_accept = 1
n = 225, r = 0.628098, dH = 0.46506, is_accept = 0
n = 226, r = 0.763902, dH = 0.269316, is_accept = 1
n = 227, r = 0.818733, dH = 0.199997, is_accept = 1
n = 228, r = 0.869936, dH = 0.139335, is_accept = 1
n = 229, r = 0.850922, dH = 0.161435, is_accept = 1
n = 230, r = 1, dH = -0.364838, is_accept = 1
n = 231, r = 1, dH = -0.102777, is_accept = 1
n = 232, r = 1, dH = -0.26882, is_accept = 1
n = 233, r = 1, dH = -0.166269, is_accept = 1
n = 234, r = 1, dH = -0.280939, is_accept = 1
n = 235, r = 0.536054, dH = 0.623521, is_accept = 1
n = 236, r = 0.850538, dH = 0.161887, is_accept = 1
n = 237, r = 0.998065, dH = 0.00193677, is_accept = 1
n = 238, r = 0.979104, dH = 0.0211178, is_accept = 1
n = 239, r = 0.501187, dH = 0.690776, is_accept = 0
n = 240, r = 0.450567, dH = 0.797248, is_accept = 1
n = 241, r = 1, dH = -0.302115, is_accept = 1
n = 242, r = 1, dH = -0.541851, is_accept = 1
n = 243, r = 0.755705, dH = 0.280105, is_accept = 1
n = 244, r = 0.835349, dH = 0.179905, is_accept = 0
n = 245, r = 0.669863, dH = 0.400683, is_accept = 1
n = 246, r = 0.886211, dH = 0.1208, is_accept = 1
n = 247, r = 1, dH = -0.176326, is_accept = 1
n = 248, r = 1, dH = -0.520151, is_accept = 1
n = 249, r = 0.800829, dH = 0.222108, is_accept = 1
n = 250, r = 0.505352, dH = 0.682501, is_accept = 1
n = 251, r = 0.536789, dH = 0.622151, is_accept = 0
n = 252, r = 0.886993, dH = 0.119918, is_accept = 1
n = 253, r = 1, dH = -0.578842, is_accept = 1
n = 254, r = 0.780084, dH = 0.248354, is_accept = 1
n = 255, r = 0.663718, dH = 0.409898, is_accept = 0
n = 256, r = 1, dH = -0.329865, is_accept = 1
n = 257, r = 0.575986, dH = 0.551671, is_accept = 0
n = 258, r = 1, dH = -0.114071, is_accept = 1
n = 259, r = 0.584905, dH = 0.536306, is_accept = 1
n = 260, r = 1, dH = -0.481127, is_accept = 1
n = 261, r = 1, dH = -0.127047, is_accept = 1
n = 262, r = 0.426446, dH = 0.852269, is_accept = 1
n = 263, r = 0.937248, dH = 0.0648076, is_accept = 1
n = 264, r = 1, dH = -0.781284, is_accept = 1
n = 265, r = 0.693728, dH = 0.365675, is_accept = 1
n = 266, r = 0.351676, dH = 1.04505, is_accept = 0
n = 267, r = 0.534109, dH = 0.627154, is_accept = 1
n = 268, r = 0.940664, dH = 0.0611691, is_accept = 1
n = 269, r = 1, dH = -0.260474, is_accept = 1
n = 270, r = 1, dH = -0.324472, is_accept = 1
n = 271, r = 0.583397, dH = 0.538887, is_accept = 1
n = 272, r = 1, dH = -0.558504, is_accept = 1
n = 273, r = 0.982983, dH = 0.0171631, is_accept = 1
n = 274, r = 1, dH = -0.462011, is_accept = 1
n = 275, r = 0.73631, dH = 0.306104, is_accept = 0
n = 276, r = 0.785647, dH = 0.241247, is_accept = 0
n = 277, r = 1, dH = -0.0708971, is_accept = 1
n = 278, r = 1, dH = -0.207756, is_accept = 1
n = 279, r = 0.738153, dH = 0.303604, is_accept = 0
