openmp threads = 1
openmp threads = 6
eigen threads = 1
seed = 29046
exact = 7.987447601192592e-01
n = 234, r = 0.819236, dH = 0.199383, is_accept = 1
n = 235, r = 1, dH = -0.38219, is_accept = 1
n = 236, r = 0.989071, dH = 0.0109891, is_accept = 1
n = 237, r = 0.941755, dH = 0.0600105, is_accept = 1
n = 238, r = 1, dH = -0.0953738, is_accept = 1
n = 239, r = 1, dH = -0.206718, is_accept = 1
n = 240, r = 0.858554, dH = 0.152506, is_accept = 1
n = 241, r = 1, dH = -0.129688, is_accept = 1
n = 242, r = 0.857158, dH = 0.154133, is_accept = 1
n = 243, r = 0.532772, dH = 0.629661, is_accept = 1
n = 244, r = 1, dH = -0.0614278, is_accept = 1
n = 245, r = 1, dH = -0.093168, is_accept = 1
n = 246, r = 1, dH = -0.00954697, is_accept = 1
n = 247, r = 1, dH = -0.237589, is_accept = 1
n = 248, r = 1, dH = -0.229636, is_accept = 1
n = 249, r = 0.792262, dH = 0.232863, is_accept = 1
n = 250, r = 0.436203, dH = 0.829646, is_accept = 1
n = 251, r = 1, dH = -0.965729, is_accept = 1
n = 252, r = 0.542374, dH = 0.611799, is_accept = 0
n = 253, r = 0.63972, dH = 0.446725, is_accept = 1
n = 254, r = 0.644064, dH = 0.439957, is_accept = 0
n = 255, r = 1, dH = -0.943867, is_accept = 1
n = 256, r = 0.77381, dH = 0.256429, is_accept = 1
n = 257, r = 0.559609, dH = 0.580517, is_accept = 1
n = 258, r = 0.773722, dH = 0.256543, is_accept = 1
n = 259, r = 1, dH = -0.508797, is_accept = 1
n = 260, r = 1, dH = -0.0998693, is_accept = 1
n = 261, r = 0.832732, dH = 0.183043, is_accept = 1
n = 262, r = 0.96106, dH = 0.0397184, is_accept = 1
n = 263, r = 1, dH = -0.877373, is_accept = 1
n = 264, r = 0.485657, dH = 0.722252, is_accept = 1
n = 265, r = 1, dH = -0.640846, is_accept = 1
n = 266, r = 1, dH = -0.0463559, is_accept = 1
n = 267, r = 1, dH = -0.104401, is_accept = 1
n = 268, r = 0.935603, dH = 0.0665643, is_accept = 0
n = 269, r = 0.591499, dH = 0.525094, is_accept = 1
n = 270, r = 1, dH = -0.0224579, is_accept = 1
n = 271, r = 0.917143, dH = 0.0864921, is_accept = 1
n = 272, r = 1, dH = -0.194952, is_accept = 1
n = 273, r = 0.753503, dH = 0.283022, is_accept = 0
n = 274, r = 1, dH = -0.0145024, is_accept = 1
n = 275, r = 0.531485, dH = 0.632081, is_accept = 0
n = 276, r = 1, dH = -0.624569, is_accept = 1
n = 277, r = 0.993586, dH = 0.00643499, is_accept = 1
n = 278, r = 0.806239, dH = 0.215375, is_accept = 1
n = 279, r = 0.99157, dH = 0.00846587, is_accept = 1
n = 280, r = 0.601643, dH = 0.508091, is_accept = 1
n = 281, r = 0.982383, dH = 0.017774, is_accept = 1
n = 282, r = 1, dH = -0.201764, is_accept = 1
n = 283, r = 1, dH = -0.589019, is_accept = 1
n = 284, r = 0.487517, dH = 0.718429, is_accept = 1
n = 285, r = 1, dH = -0.229406, is_accept = 1
n = 286, r = 1, dH = -0.0528281, is_accept = 1
n = 287, r = 0.48977, dH = 0.713819, is_accept = 0
n = 288, r = 0.922625, dH = 0.0805319, is_accept = 1
n = 289, r = 0.687163, dH = 0.375184, is_accept = 1
n = 290, r = 0.587245, dH = 0.532314, is_accept = 0
n = 291, r = 0.906934, dH = 0.0976852, is_accept = 1
n = 292, r = 1, dH = -0.0379919, is_accept = 1
n = 293, r = 1, dH = -0.664671, is_accept = 1
n = 294, r = 0.660108, dH = 0.415352, is_accept = 1
n = 295, r = 1, dH = -0.956209, is_accept = 1
n = 296, r = 0.733479, dH = 0.309956, is_accept = 0
n = 297, r = 0.361748, dH = 1.01681, is_accept = 1
n = 298, r = 0.88444, dH = 0.122801, is_accept = 1
n = 299, r = 1, dH = -0.253827, is_accept = 1
n = 300, r = 0.771234, dH = 0.259764, is_accept = 1
n = 301, r = 1, dH = -0.780794, is_accept = 1
n = 302, r = 1, dH = -0.333151, is_accept = 1
n = 303, r = 0.704813, dH = 0.349822, is_accept = 1
n = 304, r = 1, dH = -0.188044, is_accept = 1
n = 305, r = 0.523449, dH = 0.647315, is_accept = 0
n = 306, r = 0.914243, dH = 0.0896591, is_accept = 1
n = 307, r = 1, dH = -0.169149, is_accept = 1
n = 308, r = 0.487039, dH = 0.719411, is_accept = 1
n = 309, r = 0.928783, dH = 0.0738798, is_accept = 0
n = 310, r = 1, dH = -0.492728, is_accept = 1
