openmp threads = 1
eigen threads = 1
seed = 8989
exact = 5.879092030739460e-01
n = 251, r = 7.30518e-14, dH = 30.2476, is_accept = 0
n = 252, r = 1, dH = -0.070489, is_accept = 1
n = 253, r = 0.887703, dH = 0.119118, is_accept = 1
n = 254, r = 0.84355, dH = 0.170136, is_accept = 1
n = 255, r = 0.472769, dH = 0.749148, is_accept = 0
n = 256, r = 1, dH = -0.250899, is_accept = 1
n = 257, r = 1, dH = -0.0171854, is_accept = 1
n = 258, r = 1, dH = -0.131154, is_accept = 1
n = 259, r = 0.952989, dH = 0.048152, is_accept = 1
n = 260, r = 0.918364, dH = 0.0851613, is_accept = 1
n = 261, r = 0.788031, dH = 0.238217, is_accept = 1
n = 262, r = 0.431415, dH = 0.840685, is_accept = 0
n = 263, r = 0.842145, dH = 0.171803, is_accept = 1
n = 264, r = 0.845406, dH = 0.167939, is_accept = 1
n = 265, r = 4.38231e-09, dH = 19.2457, is_accept = 0
n = 266, r = 1, dH = -0.108322, is_accept = 1
n = 267, r = 1, dH = -0.206864, is_accept = 1
n = 268, r = 6.04282e-12, dH = 25.8322, is_accept = 0
n = 269, r = 1, dH = -0.353785, is_accept = 1
n = 270, r = 1, dH = -0.0420184, is_accept = 1
n = 271, r = 0.887167, dH = 0.119722, is_accept = 1
n = 272, r = 1, dH = -0.204714, is_accept = 1
n = 273, r = 1, dH = -0.312709, is_accept = 1
n = 274, r = 0.744964, dH = 0.294419, is_accept = 1
n = 275, r = 0.644109, dH = 0.439887, is_accept = 1
n = 276, r = 1, dH = -0.321463, is_accept = 1
n = 277, r = 1, dH = -0.329783, is_accept = 1
n = 278, r = 1, dH = -0.0900972, is_accept = 1
n = 279, r = 1, dH = -0.901764, is_accept = 1
n = 280, r = 1, dH = -0.0521511, is_accept = 1
n = 281, r = 0.553844, dH = 0.590871, is_accept = 1
n = 282, r = 0.726485, dH = 0.319538, is_accept = 0
n = 283, r = 0.85375, dH = 0.158116, is_accept = 1
n = 284, r = 0.916183, dH = 0.0875387, is_accept = 1
n = 285, r = 0.524336, dH = 0.645623, is_accept = 1
n = 286, r = 0.89786, dH = 0.107742, is_accept = 1
n = 287, r = 0.942087, dH = 0.0596581, is_accept = 1
n = 288, r = 1, dH = -0.662554, is_accept = 1
n = 289, r = 1, dH = -0.387323, is_accept = 1
n = 290, r = 1, dH = -0.146045, is_accept = 1
n = 291, r = 0.769188, dH = 0.26242, is_accept = 1
n = 292, r = 1, dH = -0.0605415, is_accept = 1
n = 293, r = 1, dH = -0.0386151, is_accept = 1
n = 294, r = 1, dH = -0.307832, is_accept = 1
n = 295, r = 1, dH = -0.515645, is_accept = 1
n = 296, r = 0.668317, dH = 0.402993, is_accept = 0
n = 297, r = 0.579799, dH = 0.545074, is_accept = 1
n = 298, r = 1, dH = -0.235557, is_accept = 1
n = 299, r = 1, dH = -0.168534, is_accept = 1
n = 300, r = 1, dH = -0.232546, is_accept = 1
n = 301, r = 1, dH = -0.00539287, is_accept = 1
n = 302, r = 0.809994, dH = 0.210728, is_accept = 1
n = 303, r = 0.0119539, dH = 4.4267, is_accept = 0
n = 304, r = 1, dH = -0.517962, is_accept = 1
n = 305, r = 0.943822, dH = 0.0578175, is_accept = 1
n = 306, r = 1, dH = -0.0453977, is_accept = 1
n = 307, r = 1, dH = -0.216375, is_accept = 1
n = 308, r = 1, dH = -0.0188666, is_accept = 1
n = 309, r = 1, dH = -0.212564, is_accept = 1
n = 310, r = 0.762842, dH = 0.270704, is_accept = 1
n = 311, r = 0.513743, dH = 0.666032, is_accept = 0
n = 312, r = 0.738501, dH = 0.303132, is_accept = 1
n = 313, r = 0.946064, dH = 0.0554455, is_accept = 1
n = 314, r = 1, dH = -0.367921, is_accept = 1
n = 315, r = 0.63641, dH = 0.451912, is_accept = 0
n = 316, r = 0.772512, dH = 0.258107, is_accept = 1
n = 317, r = 0.500824, dH = 0.691501, is_accept = 1
n = 318, r = 1, dH = -0.0773034, is_accept = 1
n = 319, r = 1, dH = -1.50692, is_accept = 1
n = 320, r = 0.808239, dH = 0.212898, is_accept = 1
n = 321, r = 1, dH = -0.0670519, is_accept = 1
n = 322, r = 1, dH = -0.0582434, is_accept = 1
n = 323, r = 1, dH = -0.317515, is_accept = 1
n = 324, r = 1, dH = -0.0456532, is_accept = 1
n = 325, r = 0.814102, dH = 0.205669, is_accept = 1
