openmp threads = 1
eigen threads = 1
seed = 2574
exact = 6.882880141375221e-01
n = 216, r = 0.771979, dH = 0.258798, is_accept = 1
n = 217, r = 0.693354, dH = 0.366214, is_accept = 1
n = 218, r = 0.953479, dH = 0.0476384, is_accept = 1
n = 219, r = 0.782293, dH = 0.245526, is_accept = 1
n = 220, r = 1, dH = -0.00774411, is_accept = 1
n = 221, r = 1, dH = -0.134539, is_accept = 1
n = 222, r = 1, dH = -0.146924, is_accept = 1
n = 223, r = 0.635006, dH = 0.454121, is_accept = 1
n = 224, r = 0.959377, dH = 0.0414715, is_accept = 1
n = 225, r = 0.892869, dH = 0.113315, is_accept = 1
n = 226, r = 0.837955, dH = 0.176791, is_accept = 1
n = 227, r = 1, dH = -0.463473, is_accept = 1
n = 228, r = 0.536323, dH = 0.623018, is_accept = 1
n = 229, r = 0.962132, dH = 0.0386038, is_accept = 0
n = 230, r = 0.844759, dH = 0.168703, is_accept = 1
n = 231, r = 0.9117, dH = 0.0924443, is_accept = 1
n = 232, r = 1, dH = -0.0112244, is_accept = 1
n = 233, r = 0.561243, dH = 0.577602, is_accept = 0
n = 234, r = 0.771784, dH = 0.259051, is_accept = 1
n = 235, r = 0.579362, dH = 0.545829, is_accept = 1
n = 236, r = 1, dH = -0.24916, is_accept = 1
n = 237, r = 1, dH = -0.103463, is_accept = 1
n = 238, r = 1.71505e-05, dH = 10.9735, is_accept = 0
n = 239, r = 0.390429, dH = 0.940508, is_accept = 0
n = 240, r = 0.0298661, dH = 3.51103, is_accept = 1
n = 241, r = 0.995749, dH = 0.00426051, is_accept = 1
n = 242, r = 1, dH = -0.163565, is_accept = 1
n = 243, r = 0.800211, dH = 0.22288, is_accept = 1
n = 244, r = 1, dH = -0.0182115, is_accept = 1
n = 245, r = 0.869181, dH = 0.140204, is_accept = 1
n = 246, r = 0.503217, dH = 0.686735, is_accept = 1
n = 247, r = 1, dH = -0.0234963, is_accept = 1
n = 248, r = 0.987669, dH = 0.0124074, is_accept = 1
n = 249, r = 1, dH = -0.248645, is_accept = 1
n = 250, r = 0.974842, dH = 0.0254801, is_accept = 1
n = 251, r = 0.96067, dH = 0.0401238, is_accept = 1
n = 252, r = 1, dH = -0.283144, is_accept = 1
n = 253, r = 0.720015, dH = 0.328484, is_accept = 1
n = 254, r = 0.870643, dH = 0.138523, is_accept = 0
n = 255, r = 0.831061, dH = 0.185052, is_accept = 1
n = 256, r = 1, dH = -0.43737, is_accept = 1
n = 257, r = 0.764991, dH = 0.267891, is_accept = 1
n = 258, r = 1, dH = -0.231572, is_accept = 1
n = 259, r = 0.811654, dH = 0.208681, is_accept = 0
n = 260, r = 1, dH = -0.216278, is_accept = 1
n = 261, r = 0.941012, dH = 0.0607993, is_accept = 1
n = 262, r = 1, dH = -0.277088, is_accept = 1
n = 263, r = 0.117591, dH = 2.14054, is_accept = 0
n = 264, r = 0.632074, dH = 0.458748, is_accept = 0
n = 265, r = 0.830669, dH = 0.185524, is_accept = 0
n = 266, r = 0.499735, dH = 0.693677, is_accept = 0
n = 267, r = 0.776025, dH = 0.25357, is_accept = 1
n = 268, r = 0.471619, dH = 0.751583, is_accept = 1
n = 269, r = 0.837696, dH = 0.1771, is_accept = 1
n = 270, r = 6.43582e-08, dH = 16.5588, is_accept = 0
n = 271, r = 1, dH = -0.268496, is_accept = 1
n = 272, r = 0.727435, dH = 0.318231, is_accept = 0
n = 273, r = 1, dH = -0.200354, is_accept = 1
n = 274, r = 0.983323, dH = 0.0168181, is_accept = 1
n = 275, r = 0.918332, dH = 0.0851963, is_accept = 1
n = 276, r = 1, dH = -0.162853, is_accept = 1
n = 277, r = 0.951835, dH = 0.0493639, is_accept = 1
n = 278, r = 0.814244, dH = 0.205495, is_accept = 1
n = 279, r = 0.926887, dH = 0.0759234, is_accept = 1
n = 280, r = 0.938328, dH = 0.0636552, is_accept = 1
n = 281, r = 0.368836, dH = 0.997404, is_accept = 0
n = 282, r = 0.738506, dH = 0.303125, is_accept = 0
n = 283, r = 1, dH = -0.160832, is_accept = 1
n = 284, r = 1, dH = -0.146856, is_accept = 1
n = 285, r = 0.911249, dH = 0.0929391, is_accept = 1
n = 286, r = 0.241141, dH = 1.42237, is_accept = 0
n = 287, r = 1, dH = -0.253515, is_accept = 1
n = 288, r = 0.990322, dH = 0.00972553, is_accept = 1
n = 289, r = 1.57804e-05, dH = 11.0567, is_accept = 0
n = 290, r = 1, dH = -0.0163397, is_accept = 1
n = 291, r = 0.898051, dH = 0.107529, is_accept = 0
n = 292, r = 0.796592, dH = 0.227413, is_accept = 1
n = 293, r = 0.165779, dH = 1.7971, is_accept = 0
n = 294, r = 0.00279275, dH = 5.88073, is_accept = 0
n = 295, r = 1, dH = -0.0915869, is_accept = 1
n = 296, r = 0.688861, dH = 0.372716, is_accept = 0
n = 297, r = 1, dH = -0.133533, is_accept = 1
n = 298, r = 0.811555, dH = 0.208803, is_accept = 0
n = 299, r = 0.296346, dH = 1.21623, is_accept = 1
n = 300, r = 0.889253, dH = 0.117373, is_accept = 1
n = 301, r = 0.401247, dH = 0.913177, is_accept = 1
n = 302, r = 0.963653, dH = 0.0370242, is_accept = 1
n = 303, r = 0.726619, dH = 0.319353, is_accept = 0
n = 304, r = 0.867718, dH = 0.141889, is_accept = 1
n = 305, r = 0.790542, dH = 0.235036, is_accept = 1
n = 306, r = 1, dH = -0.0184441, is_accept = 1
n = 307, r = 0.11801, dH = 2.13699, is_accept = 0
n = 308, r = 0.969747, dH = 0.0307205, is_accept = 1
n = 309, r = 1, dH = -0.315791, is_accept = 1
n = 310, r = 1, dH = -0.244373, is_accept = 1
n = 311, r = 0.680925, dH = 0.384303, is_accept = 0
n = 312, r = 1, dH = -1.37229, is_accept = 1
n = 313, r = 0.530761, dH = 0.633443, is_accept = 0
n = 314, r = 0.979096, dH = 0.0211259, is_accept = 1
n = 315, r = 0.718569, dH = 0.330493, is_accept = 1
n = 316, r = 0.790665, dH = 0.234881, is_accept = 0
n = 317, r = 1, dH = -0.133603, is_accept = 1
n = 318, r = 0.996094, dH = 0.00391402, is_accept = 1
n = 319, r = 0.875363, dH = 0.133116, is_accept = 1
n = 320, r = 1, dH = -0.0877815, is_accept = 1
n = 321, r = 0.513964, dH = 0.665603, is_accept = 0
n = 322, r = 0.382476, dH = 0.96109, is_accept = 0
n = 323, r = 0.998622, dH = 0.00137934, is_accept = 1
n = 324, r = 1, dH = -0.0856062, is_accept = 1
n = 325, r = 0.000270098, dH = 8.21672, is_accept = 0
n = 326, r = 0.946754, dH = 0.0547155, is_accept = 1
n = 327, r = 8.14115e-12, dH = 25.5341, is_accept = 0
n = 328, r = 0.938577, dH = 0.0633904, is_accept = 1
n = 329, r = 1, dH = -0.0639087, is_accept = 1
n = 330, r = 0.559064, dH = 0.581492, is_accept = 0
n = 331, r = 0.92869, dH = 0.0739801, is_accept = 1
n = 332, r = 0.885721, dH = 0.121353, is_accept = 1
n = 333, r = 0.786547, dH = 0.240103, is_accept = 1
n = 334, r = 0.0674121, dH = 2.69693, is_accept = 0
n = 335, r = 0.901729, dH = 0.103442, is_accept = 1
n = 336, r = 0.930879, dH = 0.0716257, is_accept = 1
n = 337, r = 1, dH = -0.0486845, is_accept = 1
n = 338, r = 0.995517, dH = 0.00449332, is_accept = 1
n = 339, r = 0.0224701, dH = 3.79557, is_accept = 0
n = 340, r = 1, dH = -0.0562156, is_accept = 1
n = 341, r = 1, dH = -0.0643512, is_accept = 1
n = 342, r = 0.855106, dH = 0.156529, is_accept = 0
n = 343, r = 0.775499, dH = 0.254249, is_accept = 1
n = 344, r = 1, dH = -0.188875, is_accept = 1
n = 345, r = 0.995445, dH = 0.00456534, is_accept = 1
n = 346, r = 0.81596, dH = 0.20339, is_accept = 1
n = 347, r = 2.76245e-08, dH = 17.4046, is_accept = 0
n = 348, r = 0.866968, dH = 0.142753, is_accept = 1
n = 349, r = 0.908772, dH = 0.0956613, is_accept = 0
n = 350, r = 0.856634, dH = 0.154744, is_accept = 1
n = 351, r = 0.734823, dH = 0.308126, is_accept = 0
n = 352, r = 0.818579, dH = 0.200185, is_accept = 0
n = 353, r = 0.858591, dH = 0.152462, is_accept = 1
n = 354, r = 0.755302, dH = 0.280638, is_accept = 1
n = 355, r = 1, dH = -0.301732, is_accept = 1
n = 356, r = 1, dH = -0.302384, is_accept = 1
n = 357, r = 0.971545, dH = 0.028868, is_accept = 1
n = 358, r = 1, dH = -0.0831318, is_accept = 1
n = 359, r = 1, dH = -0.170773, is_accept = 1
n = 360, r = 0.769609, dH = 0.261872, is_accept = 1
n = 361, r = 1, dH = -0.380207, is_accept = 1
n = 362, r = 0.559199, dH = 0.58125, is_accept = 1
n = 363, r = 0.906112, dH = 0.0985922, is_accept = 1
n = 364, r = 0.293906, dH = 1.2245, is_accept = 0
n = 365, r = 1, dH = -0.140995, is_accept = 1
n = 366, r = 0.986749, dH = 0.0133397, is_accept = 1
n = 367, r = 1, dH = -0.0888317, is_accept = 1
n = 368, r = 0.914102, dH = 0.089813, is_accept = 1
n = 369, r = 1, dH = -0.198911, is_accept = 1
n = 370, r = 1, dH = -0.0910878, is_accept = 1
n = 371, r = 0.868427, dH = 0.141072, is_accept = 1
n = 372, r = 1, dH = -0.0394182, is_accept = 1
n = 373, r = 1, dH = -0.390868, is_accept = 1
n = 374, r = 0.870622, dH = 0.138547, is_accept = 1
n = 375, r = 0.723435, dH = 0.323744, is_accept = 1
n = 376, r = 0.928088, dH = 0.0746283, is_accept = 1
n = 377, r = 1, dH = -0.186519, is_accept = 1
n = 378, r = 1, dH = -0.0090599, is_accept = 1
n = 379, r = 0.623502, dH = 0.472403, is_accept = 1
n = 380, r = 1, dH = -0.514632, is_accept = 1
n = 381, r = 1, dH = -0.181036, is_accept = 1
n = 382, r = 1, dH = -0.0813632, is_accept = 1
n = 383, r = 0.884479, dH = 0.122756, is_accept = 1
n = 384, r = 0.991257, dH = 0.00878173, is_accept = 1
n = 385, r = 7.68047e-16, dH = 34.8027, is_accept = 0
n = 386, r = 1, dH = -0.0566766, is_accept = 1
n = 387, r = 1, dH = -0.0297869, is_accept = 1
n = 388, r = 0.120236, dH = 2.1183, is_accept = 0
n = 389, r = 0.915296, dH = 0.0885081, is_accept = 1
n = 390, r = 0.648454, dH = 0.433164, is_accept = 1
n = 391, r = 1, dH = -0.145882, is_accept = 1
n = 392, r = 0.696272, dH = 0.362015, is_accept = 0
n = 393, r = 0.230887, dH = 1.46583, is_accept = 0
n = 394, r = 0.956209, dH = 0.044779, is_accept = 1
n = 395, r = 0.836263, dH = 0.178812, is_accept = 1
