openmp threads = 1
eigen threads = 1
seed = 27141
exact = 1.027668950414026e+00
n = 169, r = 0.183175, dH = 1.69731, is_accept = 0
n = 170, r = 1, dH = -0.0112522, is_accept = 1
n = 171, r = 1, dH = -0.209931, is_accept = 1
n = 172, r = 0.656698, dH = 0.420532, is_accept = 1
n = 173, r = 0.706448, dH = 0.347506, is_accept = 0
n = 174, r = 1, dH = -0.187483, is_accept = 1
n = 175, r = 1, dH = -0.475018, is_accept = 1
n = 176, r = 0.833954, dH = 0.181576, is_accept = 1
n = 177, r = 1, dH = -0.0306298, is_accept = 1
n = 178, r = 1, dH = -0.222718, is_accept = 1
n = 179, r = 0.876238, dH = 0.132118, is_accept = 1
n = 180, r = 1, dH = -0.102807, is_accept = 1
n = 181, r = 0.707803, dH = 0.345589, is_accept = 1
n = 182, r = 1, dH = -0.14254, is_accept = 1
n = 183, r = 1, dH = -0.0269365, is_accept = 1
n = 184, r = 0.795965, dH = 0.228201, is_accept = 1
n = 185, r = 0.900829, dH = 0.10444, is_accept = 1
n = 186, r = 1, dH = -0.4543, is_accept = 1
n = 187, r = 0.713312, dH = 0.337836, is_accept = 1
n = 188, r = 6.11156e-05, dH = 9.70274, is_accept = 0
n = 189, r = 1, dH = -0.333367, is_accept = 1
n = 190, r = 0.801888, dH = 0.220787, is_accept = 1
n = 191, r = 1, dH = -0.0768399, is_accept = 1
n = 192, r = 2.10024e-20, dH = 45.3096, is_accept = 0
n = 193, r = 0.126275, dH = 2.06929, is_accept = 0
n = 194, r = 1, dH = -0.052558, is_accept = 1
n = 195, r = 1, dH = -0.799588, is_accept = 1
n = 196, r = 0.72007, dH = 0.328407, is_accept = 0
n = 197, r = 0.701582, dH = 0.354417, is_accept = 1
n = 198, r = 1, dH = -1.13025, is_accept = 1
n = 199, r = 0.259546, dH = 1.34882, is_accept = 0
n = 200, r = 1, dH = -0.0891809, is_accept = 1
n = 201, r = 0.955273, dH = 0.0457586, is_accept = 1
n = 202, r = 0.468715, dH = 0.757761, is_accept = 0
n = 203, r = 1, dH = -0.720055, is_accept = 1
n = 204, r = 0.00599485, dH = 5.11685, is_accept = 0
n = 205, r = 1, dH = -0.407308, is_accept = 1
n = 206, r = 0.615959, dH = 0.484575, is_accept = 0
n = 207, r = 1, dH = -0.175083, is_accept = 1
n = 208, r = 1, dH = -0.531703, is_accept = 1
n = 209, r = 0.664334, dH = 0.40897, is_accept = 1
n = 210, r = 0.371551, dH = 0.990068, is_accept = 0
n = 211, r = 0.510492, dH = 0.672381, is_accept = 0
n = 212, r = 0.296198, dH = 1.21673, is_accept = 0
n = 213, r = 0.612107, dH = 0.490848, is_accept = 1
n = 214, r = 0.773964, dH = 0.25623, is_accept = 1
n = 215, r = 0.000138439, dH = 8.88508, is_accept = 0
n = 216, r = 0.885135, dH = 0.122015, is_accept = 1
n = 217, r = 1, dH = -0.708979, is_accept = 1
n = 218, r = 0.974525, dH = 0.0258052, is_accept = 1
n = 219, r = 1, dH = -0.397973, is_accept = 1
n = 220, r = 0.310346, dH = 1.17007, is_accept = 0
n = 221, r = 8.70853e-17, dH = 36.9796, is_accept = 0
n = 222, r = 1, dH = -0.785492, is_accept = 1
n = 223, r = 1, dH = -0.386266, is_accept = 1
n = 224, r = 0.752897, dH = 0.283827, is_accept = 1
n = 225, r = 0.967977, dH = 0.0325467, is_accept = 1
n = 226, r = 0.785814, dH = 0.241035, is_accept = 1
n = 227, r = 1, dH = -0.621103, is_accept = 1
n = 228, r = 0.940872, dH = 0.0609481, is_accept = 1
n = 229, r = 0.987559, dH = 0.0125188, is_accept = 1
n = 230, r = 0.532197, dH = 0.630741, is_accept = 1
n = 231, r = 0.962518, dH = 0.038203, is_accept = 1
n = 232, r = 0.970692, dH = 0.0297457, is_accept = 1
n = 233, r = 1, dH = -0.0149758, is_accept = 1
n = 234, r = 0.84857, dH = 0.164202, is_accept = 1
n = 235, r = 1, dH = -0.0850772, is_accept = 1
n = 236, r = 1, dH = -0.018286, is_accept = 1
n = 237, r = 0.864507, dH = 0.145596, is_accept = 1
n = 238, r = 0.824007, dH = 0.193576, is_accept = 1
n = 239, r = 0.892905, dH = 0.113276, is_accept = 0
n = 240, r = 1, dH = -0.0438618, is_accept = 1
n = 241, r = 1, dH = -0.0488572, is_accept = 1
n = 242, r = 1, dH = -1.05083, is_accept = 1
n = 243, r = 1, dH = -0.219134, is_accept = 1
n = 244, r = 0.510566, dH = 0.672235, is_accept = 0
n = 245, r = 1.28507e-06, dH = 13.5647, is_accept = 0
n = 246, r = 0.378902, dH = 0.970479, is_accept = 0
n = 247, r = 0.854723, dH = 0.156978, is_accept = 1
n = 248, r = 0.993427, dH = 0.00659478, is_accept = 1
n = 249, r = 0.813295, dH = 0.206662, is_accept = 1
n = 250, r = 1, dH = -0.683006, is_accept = 1
n = 251, r = 1, dH = -0.344597, is_accept = 1
n = 252, r = 1, dH = -0.0110475, is_accept = 1
n = 253, r = 0.355701, dH = 1.03367, is_accept = 0
n = 254, r = 0.208699, dH = 1.56686, is_accept = 1
n = 255, r = 0.136115, dH = 1.99426, is_accept = 1
n = 256, r = 1, dH = -0.0306713, is_accept = 1
n = 257, r = 1, dH = -0.584941, is_accept = 1
n = 258, r = 0.38194, dH = 0.962491, is_accept = 0
n = 259, r = 0.537272, dH = 0.62125, is_accept = 1
n = 260, r = 0.323371, dH = 1.12896, is_accept = 0
n = 261, r = 0.976702, dH = 0.023574, is_accept = 1
n = 262, r = 0.726193, dH = 0.31994, is_accept = 1
n = 263, r = 0.166194, dH = 1.7946, is_accept = 0
n = 264, r = 1, dH = -0.178465, is_accept = 1
n = 265, r = 1, dH = -0.137655, is_accept = 1
n = 266, r = 0.791504, dH = 0.23382, is_accept = 1
n = 267, r = 0.426338, dH = 0.852524, is_accept = 1
n = 268, r = 0.943002, dH = 0.0586871, is_accept = 1
n = 269, r = 0.835627, dH = 0.179573, is_accept = 1
n = 270, r = 0.822544, dH = 0.195353, is_accept = 1
n = 271, r = 1, dH = -0.144187, is_accept = 1
n = 272, r = 1, dH = -0.127637, is_accept = 1
n = 273, r = 0.915875, dH = 0.0878749, is_accept = 1
n = 274, r = 0.978038, dH = 0.0222063, is_accept = 1
n = 275, r = 1, dH = -0.194077, is_accept = 1
n = 276, r = 1, dH = -0.574591, is_accept = 1
n = 277, r = 0.678003, dH = 0.388603, is_accept = 1
n = 278, r = 0.638697, dH = 0.448325, is_accept = 1
n = 279, r = 1, dH = -0.773584, is_accept = 1
n = 280, r = 1, dH = -0.00799349, is_accept = 1
n = 281, r = 0.902747, dH = 0.102313, is_accept = 1
n = 282, r = 0.977347, dH = 0.022914, is_accept = 1
n = 283, r = 1, dH = -0.184724, is_accept = 1
n = 284, r = 0.745365, dH = 0.293882, is_accept = 1
n = 285, r = 0.843085, dH = 0.170687, is_accept = 1
n = 286, r = 1, dH = -0.580835, is_accept = 1
n = 287, r = 0.625447, dH = 0.469289, is_accept = 0
n = 288, r = 0.802903, dH = 0.219521, is_accept = 1
n = 289, r = 1, dH = -0.0191858, is_accept = 1
n = 290, r = 0.941511, dH = 0.0602687, is_accept = 1
n = 291, r = 0.605027, dH = 0.502483, is_accept = 0
n = 292, r = 1, dH = -0.275923, is_accept = 1
