openmp threads = 1
eigen threads = 1
seed = 5105
exact = 1.197714742754041e+00
n = 158, r = 0.806317, dH = 0.215278, is_accept = 1
n = 159, r = 0.685147, dH = 0.378122, is_accept = 0
n = 160, r = 1, dH = -0.0171642, is_accept = 1
n = 161, r = 0.901294, dH = 0.103924, is_accept = 0
n = 162, r = 0.0775881, dH = 2.55634, is_accept = 0
n = 163, r = 1, dH = -0.120588, is_accept = 1
n = 164, r = 0.51748, dH = 0.658784, is_accept = 0
n = 165, r = 0.392205, dH = 0.935972, is_accept = 1
n = 166, r = 1, dH = -0.565199, is_accept = 1
n = 167, r = 0.986555, dH = 0.0135361, is_accept = 1
n = 168, r = 3.37751e-21, dH = 47.1371, is_accept = 0
n = 169, r = 1, dH = -0.181568, is_accept = 1
n = 170, r = 1, dH = -0.0375378, is_accept = 1
n = 171, r = 0.878342, dH = 0.129719, is_accept = 1
n = 172, r = 0.687925, dH = 0.374075, is_accept = 0
n = 173, r = 0.672515, dH = 0.396731, is_accept = 0
n = 174, r = 0.913125, dH = 0.0908822, is_accept = 1
n = 175, r = 1, dH = -0.00558419, is_accept = 1
n = 176, r = 0.962248, dH = 0.0384827, is_accept = 1
n = 177, r = 1, dH = -0.187153, is_accept = 1
n = 178, r = 1, dH = -0.0599442, is_accept = 1
n = 179, r = 0.751553, dH = 0.285614, is_accept = 1
n = 180, r = 1, dH = -0.535552, is_accept = 1
n = 181, r = 1, dH = -0.114084, is_accept = 1
n = 182, r = 1, dH = -0.0498529, is_accept = 1
n = 183, r = 1, dH = -0.0692378, is_accept = 1
n = 184, r = 0.940643, dH = 0.0611916, is_accept = 1
n = 185, r = 0.868374, dH = 0.141132, is_accept = 1
n = 186, r = 0.223377, dH = 1.49889, is_accept = 0
n = 187, r = 1, dH = -0.101198, is_accept = 1
n = 188, r = 0.693861, dH = 0.365484, is_accept = 1
n = 189, r = 0.862389, dH = 0.148049, is_accept = 1
n = 190, r = 1, dH = -0.0361025, is_accept = 1
n = 191, r = 2.22906e-07, dH = 15.3165, is_accept = 0
n = 192, r = 0.998692, dH = 0.00130845, is_accept = 1
n = 193, r = 1, dH = -0.00141011, is_accept = 1
n = 194, r = 1, dH = -0.0323428, is_accept = 1
n = 195, r = 0.892732, dH = 0.113469, is_accept = 1
n = 196, r = 0.500348, dH = 0.692451, is_accept = 1
n = 197, r = 1, dH = -0.269699, is_accept = 1
n = 198, r = 1, dH = -0.390913, is_accept = 1
n = 199, r = 0.00609091, dH = 5.10096, is_accept = 0
n = 200, r = 1, dH = -0.0525054, is_accept = 1
n = 201, r = 1, dH = -0.964009, is_accept = 1
n = 202, r = 0.00249189, dH = 5.99471, is_accept = 0
n = 203, r = 0.573873, dH = 0.555347, is_accept = 1
n = 204, r = 0.911535, dH = 0.0926249, is_accept = 1
n = 205, r = 1, dH = -0.683968, is_accept = 1
n = 206, r = 1, dH = -0.30211, is_accept = 1
n = 207, r = 0.967048, dH = 0.0335074, is_accept = 1
n = 208, r = 1, dH = -0.832044, is_accept = 1
n = 209, r = 0.585142, dH = 0.535901, is_accept = 0
n = 210, r = 1, dH = -0.0905066, is_accept = 1
n = 211, r = 0.699234, dH = 0.35777, is_accept = 1
n = 212, r = 0.98821, dH = 0.0118596, is_accept = 1
n = 213, r = 0.750567, dH = 0.286927, is_accept = 1
n = 214, r = 0.924059, dH = 0.0789794, is_accept = 1
n = 215, r = 1, dH = -0.197693, is_accept = 1
n = 216, r = 1, dH = -0.0249986, is_accept = 1
n = 217, r = 1, dH = -0.596129, is_accept = 1
n = 218, r = 1, dH = -0.211462, is_accept = 1
n = 219, r = 0.613032, dH = 0.489339, is_accept = 1
n = 220, r = 1, dH = -0.263263, is_accept = 1
n = 221, r = 0.0107545, dH = 4.53243, is_accept = 0
n = 222, r = 0.700241, dH = 0.35633, is_accept = 0
n = 223, r = 1, dH = -0.224945, is_accept = 1
n = 224, r = 1, dH = -0.0294676, is_accept = 1
n = 225, r = 0.606955, dH = 0.499301, is_accept = 0
n = 226, r = 1, dH = -0.712978, is_accept = 1
n = 227, r = 0.875223, dH = 0.133276, is_accept = 0
n = 228, r = 0.680344, dH = 0.385157, is_accept = 1
n = 229, r = 1, dH = -0.223195, is_accept = 1
n = 230, r = 1, dH = -0.188678, is_accept = 1
n = 231, r = 1, dH = -0.1039, is_accept = 1
n = 232, r = 0.994426, dH = 0.00558965, is_accept = 1
n = 233, r = 0.930124, dH = 0.0724375, is_accept = 1
n = 234, r = 0.924224, dH = 0.0788007, is_accept = 1
n = 235, r = 0.0904274, dH = 2.40321, is_accept = 0
n = 236, r = 1, dH = -0.00679082, is_accept = 1
n = 237, r = 0.000216831, dH = 8.43639, is_accept = 0
n = 238, r = 1, dH = -0.281114, is_accept = 1
n = 239, r = 0.911068, dH = 0.0931381, is_accept = 1
n = 240, r = 1, dH = -0.151756, is_accept = 1
n = 241, r = 1, dH = -0.386816, is_accept = 1
n = 242, r = 5.65408e-08, dH = 16.6883, is_accept = 0
n = 243, r = 0.937422, dH = 0.0646213, is_accept = 1
n = 244, r = 0.861038, dH = 0.149617, is_accept = 1
n = 245, r = 1, dH = -0.180484, is_accept = 1
n = 246, r = 0.606288, dH = 0.5004, is_accept = 1
n = 247, r = 0.846645, dH = 0.166474, is_accept = 1
n = 248, r = 1, dH = -0.786082, is_accept = 1
n = 249, r = 0.818932, dH = 0.199754, is_accept = 1
n = 250, r = 1, dH = -0.132928, is_accept = 1
n = 251, r = 1, dH = -0.0278792, is_accept = 1
n = 252, r = 0.932276, dH = 0.0701266, is_accept = 0
n = 253, r = 0.889296, dH = 0.117325, is_accept = 1
n = 254, r = 0.652983, dH = 0.426204, is_accept = 0
n = 255, r = 1, dH = -0.149868, is_accept = 1
n = 256, r = 1, dH = -0.228091, is_accept = 1
n = 257, r = 1, dH = -0.010664, is_accept = 1
n = 258, r = 1, dH = -0.359301, is_accept = 1
n = 259, r = 0.64751, dH = 0.434621, is_accept = 1
n = 260, r = 0.794509, dH = 0.230031, is_accept = 1
n = 261, r = 0.799747, dH = 0.223459, is_accept = 1
n = 262, r = 1, dH = -0.310056, is_accept = 1
n = 263, r = 0.917374, dH = 0.0862401, is_accept = 1
n = 264, r = 0.935857, dH = 0.0662924, is_accept = 1
n = 265, r = 0.936786, dH = 0.0653006, is_accept = 1
n = 266, r = 1, dH = -0.312934, is_accept = 1
n = 267, r = 1, dH = -0.0318982, is_accept = 1
n = 268, r = 0.958846, dH = 0.0420253, is_accept = 1
n = 269, r = 1.07206e-153, dH = 352.226, is_accept = 0
n = 270, r = 0.540043, dH = 0.616106, is_accept = 0
n = 271, r = 0.851367, dH = 0.160912, is_accept = 1
n = 272, r = 1, dH = -0.224649, is_accept = 1
n = 273, r = 1, dH = -0.243187, is_accept = 1
n = 274, r = 0.817704, dH = 0.201254, is_accept = 1
n = 275, r = 1, dH = -0.0652744, is_accept = 1
n = 276, r = 1, dH = -0.266085, is_accept = 1
n = 277, r = 1, dH = -0.0258085, is_accept = 1
n = 278, r = 0.564949, dH = 0.57102, is_accept = 1
n = 279, r = 0.740179, dH = 0.300863, is_accept = 1
n = 280, r = 1, dH = -0.233475, is_accept = 1
n = 281, r = 0.899659, dH = 0.10574, is_accept = 1
n = 282, r = 0.156723, dH = 1.85327, is_accept = 0
n = 283, r = 1.58514e-08, dH = 17.96, is_accept = 0
n = 284, r = 0.938219, dH = 0.063772, is_accept = 1
n = 285, r = 0.641531, dH = 0.443899, is_accept = 1
n = 286, r = 0.910773, dH = 0.0934611, is_accept = 1
n = 287, r = 1, dH = -0.293458, is_accept = 1
n = 288, r = 1, dH = -0.331696, is_accept = 1
n = 289, r = 1, dH = -0.117681, is_accept = 1
n = 290, r = 1, dH = -0.00793244, is_accept = 1
n = 291, r = 0.335753, dH = 1.09138, is_accept = 0
n = 292, r = 0.018668, dH = 3.98095, is_accept = 0
n = 293, r = 0.868122, dH = 0.141423, is_accept = 1
n = 294, r = 0.578603, dH = 0.547139, is_accept = 1
n = 295, r = 0.884003, dH = 0.123295, is_accept = 1
n = 296, r = 0.265779, dH = 1.32509, is_accept = 1
n = 297, r = 0.858558, dH = 0.152501, is_accept = 0
n = 298, r = 1, dH = -0.360206, is_accept = 1
n = 299, r = 1, dH = -0.0265654, is_accept = 1
n = 300, r = 1, dH = -0.124067, is_accept = 1
n = 301, r = 1, dH = -0.119545, is_accept = 1
n = 302, r = 0.757118, dH = 0.278236, is_accept = 1
n = 303, r = 0.326124, dH = 1.12048, is_accept = 1
n = 304, r = 1, dH = -0.488505, is_accept = 1
n = 305, r = 0.535373, dH = 0.624791, is_accept = 0
n = 306, r = 0.810127, dH = 0.210564, is_accept = 1
n = 307, r = 0.45339, dH = 0.791003, is_accept = 1
n = 308, r = 1, dH = -0.374899, is_accept = 1
n = 309, r = 0.8402, dH = 0.174115, is_accept = 0
n = 310, r = 1, dH = -0.0670641, is_accept = 1
n = 311, r = 1, dH = -0.151092, is_accept = 1
n = 312, r = 0.93171, dH = 0.0707333, is_accept = 1
n = 313, r = 0.689578, dH = 0.371676, is_accept = 1
n = 314, r = 0.771393, dH = 0.259557, is_accept = 1
n = 315, r = 1, dH = -0.710605, is_accept = 1
n = 316, r = 1, dH = -0.189362, is_accept = 1
n = 317, r = 1, dH = -0.113882, is_accept = 1
n = 318, r = 0.941049, dH = 0.0607596, is_accept = 1
n = 319, r = 0.784233, dH = 0.243049, is_accept = 1
n = 320, r = 0.88567, dH = 0.121411, is_accept = 1
n = 321, r = 1, dH = -0.19846, is_accept = 1
n = 322, r = 0.417675, dH = 0.873052, is_accept = 0
n = 323, r = 1, dH = -0.170004, is_accept = 1
n = 324, r = 0.877543, dH = 0.130629, is_accept = 1
n = 325, r = 0.691466, dH = 0.368941, is_accept = 0
n = 326, r = 0.684264, dH = 0.379411, is_accept = 0
n = 327, r = 0.745546, dH = 0.293638, is_accept = 0
n = 328, r = 0.132743, dH = 2.01934, is_accept = 0
n = 329, r = 0.979023, dH = 0.0212006, is_accept = 1
n = 330, r = 0.844253, dH = 0.169303, is_accept = 1
n = 331, r = 0.350512, dH = 1.04836, is_accept = 0
n = 332, r = 1, dH = -0.864955, is_accept = 1
n = 333, r = 0.601327, dH = 0.508616, is_accept = 1
n = 334, r = 0.149999, dH = 1.89713, is_accept = 0
n = 335, r = 1, dH = -0.732714, is_accept = 1
n = 336, r = 0.801905, dH = 0.220765, is_accept = 1
n = 337, r = 1, dH = -0.26256, is_accept = 1
n = 338, r = 0.991088, dH = 0.00895199, is_accept = 1
n = 339, r = 3.84567e-18, dH = 40.0996, is_accept = 0
n = 340, r = 1, dH = -0.424143, is_accept = 1
n = 341, r = 0.377306, dH = 0.974698, is_accept = 0
n = 342, r = 0.0398883, dH = 3.22167, is_accept = 0
n = 343, r = 0.660908, dH = 0.41414, is_accept = 1
n = 344, r = 1, dH = -0.083662, is_accept = 1
n = 345, r = 0.752483, dH = 0.284377, is_accept = 1
n = 346, r = 0.890137, dH = 0.11638, is_accept = 1
n = 347, r = 1, dH = -0.152414, is_accept = 1
n = 348, r = 1, dH = -0.113711, is_accept = 1
n = 349, r = 0.813296, dH = 0.20666, is_accept = 0
n = 350, r = 0.882256, dH = 0.125273, is_accept = 1
n = 351, r = 0.923294, dH = 0.0798074, is_accept = 1
n = 352, r = 0.122708, dH = 2.09795, is_accept = 0
n = 353, r = 0.503383, dH = 0.686404, is_accept = 0
n = 354, r = 0.998536, dH = 0.00146485, is_accept = 1
