openmp threads = 1
eigen threads = 1
seed = 30151
exact = 1.101960441795678e+00
n = 393, r = 0.984708, dH = 0.0154102, is_accept = 0
n = 394, r = 0.11731, dH = 2.14294, is_accept = 0
n = 395, r = 1, dH = -0.228292, is_accept = 1
n = 396, r = 0.777988, dH = 0.251044, is_accept = 1
n = 397, r = 0.579587, dH = 0.54544, is_accept = 0
n = 398, r = 0.649016, dH = 0.432298, is_accept = 1
n = 399, r = 1, dH = -0.349318, is_accept = 1
n = 400, r = 1, dH = -0.173877, is_accept = 1
n = 401, r = 0.318344, dH = 1.14462, is_accept = 1
n = 402, r = 0.891132, dH = 0.115263, is_accept = 1
n = 403, r = 0.813533, dH = 0.206369, is_accept = 1
n = 404, r = 0.720387, dH = 0.327967, is_accept = 0
n = 405, r = 1, dH = -0.0578777, is_accept = 1
n = 406, r = 0.978193, dH = 0.0220488, is_accept = 1
n = 407, r = 0.418884, dH = 0.87016, is_accept = 0
n = 408, r = 0.296825, dH = 1.21461, is_accept = 0
n = 409, r = 1, dH = -0.192107, is_accept = 1
n = 410, r = 1, dH = -0.388732, is_accept = 1
n = 411, r = 0.817415, dH = 0.201608, is_accept = 1
n = 412, r = 0.807109, dH = 0.214297, is_accept = 1
n = 413, r = 1.75212e-21, dH = 47.7935, is_accept = 0
n = 414, r = 1, dH = -0.0848392, is_accept = 1
n = 415, r = 0.187274, dH = 1.67518, is_accept = 0
n = 416, r = 1, dH = -0.650934, is_accept = 1
n = 417, r = 1, dH = -0.101151, is_accept = 1
n = 418, r = 0.851523, dH = 0.160728, is_accept = 1
n = 419, r = 1, dH = -0.0745796, is_accept = 1
n = 420, r = 1, dH = -0.126522, is_accept = 1
n = 421, r = 0.733728, dH = 0.309617, is_accept = 1
n = 422, r = 0.000958422, dH = 6.95022, is_accept = 0
n = 423, r = 0.825271, dH = 0.192044, is_accept = 1
n = 424, r = 0.783666, dH = 0.243772, is_accept = 1
n = 425, r = 0.353589, dH = 1.03962, is_accept = 1
n = 426, r = 1, dH = -0.173003, is_accept = 1
n = 427, r = 0.905467, dH = 0.0993043, is_accept = 1
n = 428, r = 0.492458, dH = 0.708346, is_accept = 1
n = 429, r = 0.863703, dH = 0.146527, is_accept = 1
n = 430, r = 1, dH = -0.127106, is_accept = 1
n = 431, r = 0.989018, dH = 0.0110427, is_accept = 1
n = 432, r = 0.829403, dH = 0.187049, is_accept = 1
n = 433, r = 0.950273, dH = 0.0510058, is_accept = 1
n = 434, r = 1, dH = -0.358222, is_accept = 1
n = 435, r = 0.584704, dH = 0.536649, is_accept = 0
n = 436, r = 1, dH = -0.333548, is_accept = 1
n = 437, r = 0.902979, dH = 0.102056, is_accept = 1
n = 438, r = 1, dH = -0.140586, is_accept = 1
n = 439, r = 1, dH = -0.0978771, is_accept = 1
n = 440, r = 0.757348, dH = 0.277932, is_accept = 1
n = 441, r = 1, dH = -0.999409, is_accept = 1
n = 442, r = 1, dH = -0.153663, is_accept = 1
n = 443, r = 6.83936e-16, dH = 34.9187, is_accept = 0
n = 444, r = 1, dH = -0.370555, is_accept = 1
n = 445, r = 0.917063, dH = 0.0865796, is_accept = 1
n = 446, r = 1, dH = -2.44721, is_accept = 1
n = 447, r = 0.750183, dH = 0.287437, is_accept = 1
n = 448, r = 2.42125e-05, dH = 10.6286, is_accept = 0
