openmp threads = 1
eigen threads = 1
seed = 97
exact = 1.216718433734802e+00
n = 149, r = 1, dH = -0.0466278, is_accept = 1
n = 150, r = 1, dH = -0.416735, is_accept = 1
n = 151, r = 0.789709, dH = 0.236091, is_accept = 1
n = 152, r = 0.170038, dH = 1.77173, is_accept = 0
n = 153, r = 0.997663, dH = 0.00234022, is_accept = 1
n = 154, r = 0.946642, dH = 0.054834, is_accept = 1
n = 155, r = 0.26476, dH = 1.32893, is_accept = 0
n = 156, r = 0.797251, dH = 0.226585, is_accept = 0
n = 157, r = 1, dH = -0.681184, is_accept = 1
n = 158, r = 1, dH = -0.0791104, is_accept = 1
n = 159, r = 0.890422, dH = 0.11606, is_accept = 1
n = 160, r = 0.979725, dH = 0.0204834, is_accept = 1
n = 161, r = 0.842397, dH = 0.171503, is_accept = 1
n = 162, r = 1, dH = -0.236341, is_accept = 1
n = 163, r = 0.51837, dH = 0.657065, is_accept = 0
n = 164, r = 4.00696e-06, dH = 12.4275, is_accept = 0
n = 165, r = 0.654247, dH = 0.42427, is_accept = 1
n = 166, r = 0.438062, dH = 0.825394, is_accept = 0
n = 167, r = 0.5521, dH = 0.594027, is_accept = 1
n = 168, r = 0.851949, dH = 0.160228, is_accept = 1
n = 169, r = 1, dH = -0.250396, is_accept = 1
n = 170, r = 1, dH = -0.0168579, is_accept = 1
n = 171, r = 1, dH = -0.109685, is_accept = 1
n = 172, r = 0.838101, dH = 0.176617, is_accept = 1
n = 173, r = 0.903515, dH = 0.101463, is_accept = 1
n = 174, r = 1.07636e-19, dH = 43.6755, is_accept = 0
n = 175, r = 0.983392, dH = 0.0167478, is_accept = 1
n = 176, r = 1, dH = -0.0958076, is_accept = 1
n = 177, r = 1, dH = -0.122487, is_accept = 1
n = 178, r = 0.775141, dH = 0.25471, is_accept = 1
n = 179, r = 0.969839, dH = 0.0306251, is_accept = 1
n = 180, r = 0.865369, dH = 0.144599, is_accept = 1
n = 181, r = 0.39951, dH = 0.917517, is_accept = 1
n = 182, r = 1, dH = -0.0474922, is_accept = 1
n = 183, r = 1, dH = -0.282275, is_accept = 1
n = 184, r = 0.93164, dH = 0.0708086, is_accept = 1
n = 185, r = 1, dH = -0.446008, is_accept = 1
n = 186, r = 1, dH = -0.0280678, is_accept = 1
n = 187, r = 0.347893, dH = 1.05586, is_accept = 0
n = 188, r = 0.827195, dH = 0.189714, is_accept = 0
n = 189, r = 0.225866, dH = 1.48781, is_accept = 0
n = 190, r = 1, dH = -0.182991, is_accept = 1
n = 191, r = 0.966343, dH = 0.0342361, is_accept = 1
n = 192, r = 0.915359, dH = 0.0884389, is_accept = 1
n = 193, r = 0.572437, dH = 0.557853, is_accept = 0
n = 194, r = 1, dH = -0.406241, is_accept = 1
n = 195, r = 0.908083, dH = 0.096419, is_accept = 0
n = 196, r = 1, dH = -0.0635004, is_accept = 1
n = 197, r = 1, dH = -0.27318, is_accept = 1
n = 198, r = 1, dH = -0.801226, is_accept = 1
n = 199, r = 2.84628e-12, dH = 26.585, is_accept = 0
n = 200, r = 0.901642, dH = 0.103538, is_accept = 0
n = 201, r = 1, dH = -0.209881, is_accept = 1
n = 202, r = 1, dH = -0.0149077, is_accept = 1
n = 203, r = 1, dH = -0.186319, is_accept = 1
n = 204, r = 1, dH = -0.196014, is_accept = 1
n = 205, r = 0.808446, dH = 0.212641, is_accept = 1
n = 206, r = 0.108653, dH = 2.2196, is_accept = 0
n = 207, r = 0.882775, dH = 0.124685, is_accept = 1
