openmp threads = 1
eigen threads = 1
seed = 1352
exact = 9.585581566092005e-01
n = 450, r = 1, dH = -0.132614, is_accept = 1
n = 451, r = 1, dH = -0.0557396, is_accept = 1
n = 452, r = 0.66879, dH = 0.402286, is_accept = 0
n = 453, r = 0.673562, dH = 0.395175, is_accept = 1
n = 454, r = 0.0010805, dH = 6.83034, is_accept = 0
n = 455, r = 0.0114556, dH = 4.46928, is_accept = 0
n = 456, r = 0.960942, dH = 0.0398411, is_accept = 1
n = 457, r = 0.838301, dH = 0.176377, is_accept = 1
n = 458, r = 1, dH = -0.330145, is_accept = 1
n = 459, r = 0.884473, dH = 0.122763, is_accept = 1
n = 460, r = 0.561505, dH = 0.577134, is_accept = 1
n = 461, r = 0.00331283, dH = 5.70995, is_accept = 0
n = 462, r = 1, dH = -0.373363, is_accept = 1
n = 463, r = 1, dH = -0.289122, is_accept = 1
n = 464, r = 1, dH = -0.44449, is_accept = 1
n = 465, r = 1, dH = -0.0618781, is_accept = 1
n = 466, r = 1, dH = -0.73396, is_accept = 1
n = 467, r = 1, dH = -1.33852, is_accept = 1
n = 468, r = 0.748424, dH = 0.289786, is_accept = 0
n = 469, r = 1, dH = -0.00707245, is_accept = 1
n = 470, r = 0.890341, dH = 0.116151, is_accept = 1
n = 471, r = 2.62805e-07, dH = 15.1519, is_accept = 0
n = 472, r = 0.298004, dH = 1.21065, is_accept = 0
n = 473, r = 0.836161, dH = 0.178934, is_accept = 1
n = 474, r = 0.717593, dH = 0.331852, is_accept = 1
n = 475, r = 0.677395, dH = 0.389501, is_accept = 1
