openmp threads = 1
eigen threads = 1
seed = 5703
exact = 5.457221248129214e-01
n = 206, r = 0.831807, dH = 0.184154, is_accept = 1
n = 207, r = 1, dH = -0.0165528, is_accept = 1
n = 208, r = 0.809907, dH = 0.210836, is_accept = 1
n = 209, r = 1, dH = -0.228617, is_accept = 1
n = 210, r = 0.869085, dH = 0.140314, is_accept = 1
n = 211, r = 0.985835, dH = 0.0142666, is_accept = 1
n = 212, r = 0.860853, dH = 0.149832, is_accept = 1
n = 213, r = 0.750179, dH = 0.287443, is_accept = 1
n = 214, r = 0.936183, dH = 0.0659439, is_accept = 1
n = 215, r = 0.667111, dH = 0.404799, is_accept = 1
n = 216, r = 0.584196, dH = 0.537519, is_accept = 0
n = 217, r = 1.44093e-11, dH = 24.9631, is_accept = 0
n = 218, r = 0.0130014, dH = 4.3427, is_accept = 0
n = 219, r = 0.785772, dH = 0.241088, is_accept = 1
n = 220, r = 0.218247, dH = 1.52213, is_accept = 0
n = 221, r = 1, dH = -0.13676, is_accept = 1
n = 222, r = 0.0108904, dH = 4.51987, is_accept = 0
n = 223, r = 1, dH = -0.071715, is_accept = 1
n = 224, r = 0.921897, dH = 0.0813221, is_accept = 1
n = 225, r = 1, dH = -0.205807, is_accept = 1
n = 226, r = 1, dH = -0.809633, is_accept = 1
n = 227, r = 0.476817, dH = 0.740623, is_accept = 0
n = 228, r = 0.941963, dH = 0.0597891, is_accept = 1
n = 229, r = 0.625601, dH = 0.469043, is_accept = 0
n = 230, r = 0.735176, dH = 0.307646, is_accept = 0
n = 231, r = 0.761701, dH = 0.272201, is_accept = 1
n = 232, r = 1, dH = -0.504457, is_accept = 1
n = 233, r = 1, dH = -0.0126372, is_accept = 1
n = 234, r = 0.927652, dH = 0.0750982, is_accept = 1
n = 235, r = 0.689365, dH = 0.371985, is_accept = 0
n = 236, r = 1, dH = -0.124187, is_accept = 1
n = 237, r = 0.851872, dH = 0.160319, is_accept = 1
n = 238, r = 1, dH = -0.222653, is_accept = 1
n = 239, r = 0.678271, dH = 0.388209, is_accept = 0
n = 240, r = 5.20857e-15, dH = 32.8885, is_accept = 0
n = 241, r = 0.831281, dH = 0.184787, is_accept = 1
n = 242, r = 1, dH = -0.166432, is_accept = 1
n = 243, r = 0.736532, dH = 0.305803, is_accept = 0
n = 244, r = 0.40647, dH = 0.900245, is_accept = 0
n = 245, r = 0.0176068, dH = 4.03947, is_accept = 0
n = 246, r = 0.553617, dH = 0.591283, is_accept = 0
n = 247, r = 0.63397, dH = 0.455754, is_accept = 1
n = 248, r = 1, dH = -0.0554986, is_accept = 1
n = 249, r = 0.501658, dH = 0.689836, is_accept = 0
n = 250, r = 0.455426, dH = 0.786522, is_accept = 0
n = 251, r = 0.963737, dH = 0.0369369, is_accept = 1
n = 252, r = 0.499687, dH = 0.693774, is_accept = 1
n = 253, r = 0.969764, dH = 0.0307021, is_accept = 1
n = 254, r = 1.39293e-07, dH = 15.7867, is_accept = 0
n = 255, r = 1, dH = -0.0157019, is_accept = 1
n = 256, r = 1, dH = -0.149812, is_accept = 1
n = 257, r = 0.988793, dH = 0.0112699, is_accept = 1
n = 258, r = 1, dH = -0.181713, is_accept = 1
n = 259, r = 1, dH = -0.327577, is_accept = 1
n = 260, r = 0.705479, dH = 0.348878, is_accept = 1
n = 261, r = 0.940064, dH = 0.0618069, is_accept = 1
n = 262, r = 0.803952, dH = 0.218216, is_accept = 1
n = 263, r = 0.982902, dH = 0.0172455, is_accept = 1
n = 264, r = 0.064341, dH = 2.74356, is_accept = 0
n = 265, r = 1, dH = -0.0405272, is_accept = 1
n = 266, r = 0.92713, dH = 0.0756619, is_accept = 1
n = 267, r = 1, dH = -0.175845, is_accept = 1
n = 268, r = 0.998472, dH = 0.00152966, is_accept = 1
n = 269, r = 1, dH = -0.434489, is_accept = 1
n = 270, r = 0.619036, dH = 0.479593, is_accept = 0
n = 271, r = 0.831349, dH = 0.184706, is_accept = 1
n = 272, r = 0.971272, dH = 0.0291485, is_accept = 1
n = 273, r = 1, dH = -0.0863414, is_accept = 1
n = 274, r = 4.88839e-06, dH = 12.2286, is_accept = 0
n = 275, r = 0.000421172, dH = 7.77247, is_accept = 0
n = 276, r = 0.539691, dH = 0.616758, is_accept = 0
n = 277, r = 0.93974, dH = 0.0621516, is_accept = 1
n = 278, r = 0.830296, dH = 0.185974, is_accept = 1
n = 279, r = 0.000586228, dH = 7.4418, is_accept = 0
n = 280, r = 0.980319, dH = 0.0198776, is_accept = 1
n = 281, r = 0.504224, dH = 0.684734, is_accept = 1
n = 282, r = 1, dH = -0.13083, is_accept = 1
n = 283, r = 0.87347, dH = 0.135281, is_accept = 1
n = 284, r = 0.0273921, dH = 3.5975, is_accept = 0
n = 285, r = 1, dH = -0.102657, is_accept = 1
n = 286, r = 0.56902, dH = 0.56384, is_accept = 1
n = 287, r = 1, dH = -0.319487, is_accept = 1
