openmp threads = 1
eigen threads = 1
seed = 11239
exact = 1.000843767765202e+00
n = 220, r = 1, dH = -0.173334, is_accept = 1
n = 221, r = 1, dH = -0.127178, is_accept = 1
n = 222, r = 0.654525, dH = 0.423845, is_accept = 0
n = 223, r = 1, dH = -0.0314782, is_accept = 1
n = 224, r = 0.711391, dH = 0.340532, is_accept = 1
n = 225, r = 0.724144, dH = 0.322765, is_accept = 1
n = 226, r = 1, dH = -0.0841137, is_accept = 1
n = 227, r = 1, dH = -0.442889, is_accept = 1
n = 228, r = 0.102489, dH = 2.278, is_accept = 0
n = 229, r = 0.000563309, dH = 7.48168, is_accept = 0
n = 230, r = 0.968387, dH = 0.0321236, is_accept = 1
n = 231, r = 0.674512, dH = 0.393765, is_accept = 1
n = 232, r = 1, dH = -0.0491843, is_accept = 1
n = 233, r = 1, dH = -0.500086, is_accept = 1
n = 234, r = 1, dH = -0.0165867, is_accept = 1
n = 235, r = 0.6138, dH = 0.488086, is_accept = 1
n = 236, r = 1, dH = -0.514255, is_accept = 1
n = 237, r = 0.890774, dH = 0.115664, is_accept = 1
n = 238, r = 0.100139, dH = 2.30119, is_accept = 0
n = 239, r = 0.906376, dH = 0.0983011, is_accept = 1
n = 240, r = 0.640393, dH = 0.445674, is_accept = 1
n = 241, r = 1, dH = -0.272832, is_accept = 1
n = 242, r = 1, dH = -0.509945, is_accept = 1
n = 243, r = 0.707567, dH = 0.345924, is_accept = 1
n = 244, r = 1, dH = -0.37985, is_accept = 1
n = 245, r = 0.82441, dH = 0.193087, is_accept = 1
n = 246, r = 1, dH = -0.0341582, is_accept = 1
n = 247, r = 0.0453061, dH = 3.09431, is_accept = 0
n = 248, r = 1, dH = -0.0544402, is_accept = 1
n = 249, r = 1, dH = -0.209967, is_accept = 1
n = 250, r = 0.40489, dH = 0.90414, is_accept = 1
n = 251, r = 1, dH = -0.230961, is_accept = 1
n = 252, r = 1, dH = -0.14739, is_accept = 1
n = 253, r = 1, dH = -0.09991, is_accept = 1
n = 254, r = 0.943832, dH = 0.0578069, is_accept = 1
n = 255, r = 0.772978, dH = 0.257505, is_accept = 1
n = 256, r = 1, dH = -0.203111, is_accept = 1
n = 257, r = 0.859076, dH = 0.151897, is_accept = 0
n = 258, r = 0.866985, dH = 0.142734, is_accept = 1
n = 259, r = 0.922004, dH = 0.0812054, is_accept = 1
n = 260, r = 2.96312e-06, dH = 12.7293, is_accept = 0
n = 261, r = 0.670135, dH = 0.400276, is_accept = 0
n = 262, r = 0.867712, dH = 0.141896, is_accept = 1
n = 263, r = 1, dH = -0.00885264, is_accept = 1
n = 264, r = 0.957422, dH = 0.0435109, is_accept = 1
n = 265, r = 3.1743e-08, dH = 17.2656, is_accept = 0
n = 266, r = 0.547796, dH = 0.601852, is_accept = 1
n = 267, r = 1, dH = -0.0434306, is_accept = 1
n = 268, r = 0.112702, dH = 2.18301, is_accept = 1
n = 269, r = 1, dH = -0.290359, is_accept = 1
n = 270, r = 0.825311, dH = 0.191995, is_accept = 1
n = 271, r = 0.956244, dH = 0.0447418, is_accept = 1
n = 272, r = 0.765522, dH = 0.267198, is_accept = 1
n = 273, r = 0.681391, dH = 0.383618, is_accept = 0
n = 274, r = 1, dH = -0.484467, is_accept = 1
n = 275, r = 0.516531, dH = 0.660619, is_accept = 1
n = 276, r = 1, dH = -0.603741, is_accept = 1
n = 277, r = 0.523992, dH = 0.64628, is_accept = 0
n = 278, r = 0.16878, dH = 1.77916, is_accept = 1
n = 279, r = 0.823213, dH = 0.19454, is_accept = 1
n = 280, r = 1, dH = -0.197315, is_accept = 1
n = 281, r = 1, dH = -0.00063486, is_accept = 1
n = 282, r = 0.714242, dH = 0.336534, is_accept = 1
n = 283, r = 1, dH = -0.00756246, is_accept = 1
n = 284, r = 0.889921, dH = 0.116622, is_accept = 1
n = 285, r = 0.864828, dH = 0.145225, is_accept = 1
n = 286, r = 1, dH = -0.232942, is_accept = 1
n = 287, r = 0.838454, dH = 0.176196, is_accept = 1
n = 288, r = 0.895228, dH = 0.110677, is_accept = 1
n = 289, r = 1, dH = -0.621418, is_accept = 1
n = 290, r = 0.270114, dH = 1.30891, is_accept = 0
n = 291, r = 0.478111, dH = 0.737912, is_accept = 0
n = 292, r = 1, dH = -0.207857, is_accept = 1
n = 293, r = 0.827883, dH = 0.188883, is_accept = 1
n = 294, r = 1, dH = -0.163066, is_accept = 1
n = 295, r = 0.445928, dH = 0.807598, is_accept = 0
n = 296, r = 1, dH = -0.123806, is_accept = 1
n = 297, r = 1, dH = -0.190211, is_accept = 1
n = 298, r = 0.835855, dH = 0.1793, is_accept = 1
n = 299, r = 1, dH = -0.191821, is_accept = 1
n = 300, r = 1, dH = -0.223151, is_accept = 1
n = 301, r = 0.495724, dH = 0.701736, is_accept = 0
n = 302, r = 1, dH = -0.119314, is_accept = 1
n = 303, r = 1, dH = -0.128792, is_accept = 1
n = 304, r = 0.678961, dH = 0.387192, is_accept = 1
n = 305, r = 0.879817, dH = 0.128041, is_accept = 1
n = 306, r = 2.26072e-12, dH = 26.8153, is_accept = 0
n = 307, r = 1, dH = -0.192351, is_accept = 1
n = 308, r = 1, dH = -0.129632, is_accept = 1
n = 309, r = 0.864246, dH = 0.145898, is_accept = 1
n = 310, r = 0.92993, dH = 0.072646, is_accept = 1
n = 311, r = 1, dH = -0.212781, is_accept = 1
n = 312, r = 0.502443, dH = 0.688272, is_accept = 0
n = 313, r = 0.922798, dH = 0.0803447, is_accept = 1
n = 314, r = 1, dH = -0.0721966, is_accept = 1
n = 315, r = 1, dH = -0.537231, is_accept = 1
n = 316, r = 0.916529, dH = 0.0871614, is_accept = 1
n = 317, r = 0.870281, dH = 0.138939, is_accept = 1
n = 318, r = 1, dH = -0.00513814, is_accept = 1
n = 319, r = 0.243409, dH = 1.41301, is_accept = 1
n = 320, r = 0.669451, dH = 0.401297, is_accept = 1
n = 321, r = 0.857781, dH = 0.153406, is_accept = 1
n = 322, r = 0.289542, dH = 1.23945, is_accept = 0
n = 323, r = 0.805924, dH = 0.215766, is_accept = 1
n = 324, r = 0.752172, dH = 0.28479, is_accept = 1
n = 325, r = 0.385465, dH = 0.953304, is_accept = 0
n = 326, r = 1, dH = -1.79767, is_accept = 1
n = 327, r = 1, dH = -0.0522702, is_accept = 1
n = 328, r = 1, dH = -0.0592031, is_accept = 1
n = 329, r = 0.911363, dH = 0.0928143, is_accept = 1
n = 330, r = 0.951067, dH = 0.0501704, is_accept = 1
n = 331, r = 0.853687, dH = 0.158191, is_accept = 1
n = 332, r = 0.991253, dH = 0.00878524, is_accept = 1
n = 333, r = 0.995686, dH = 0.00432321, is_accept = 1
n = 334, r = 0.600993, dH = 0.509172, is_accept = 1
n = 335, r = 0.857933, dH = 0.153229, is_accept = 1
n = 336, r = 1, dH = -0.17882, is_accept = 1
n = 337, r = 0.0261359, dH = 3.64444, is_accept = 0
n = 338, r = 1, dH = -0.563855, is_accept = 1
n = 339, r = 0.95523, dH = 0.0458032, is_accept = 1
n = 340, r = 1, dH = -0.114504, is_accept = 1
n = 341, r = 0.565369, dH = 0.570276, is_accept = 0
n = 342, r = 0.148094, dH = 1.90991, is_accept = 0
n = 343, r = 0.257405, dH = 1.3571, is_accept = 0
n = 344, r = 0.656554, dH = 0.42075, is_accept = 1
n = 345, r = 0.87007, dH = 0.139181, is_accept = 0
n = 346, r = 1, dH = -0.217189, is_accept = 1
n = 347, r = 1, dH = -0.219363, is_accept = 1
n = 348, r = 0.529807, dH = 0.635243, is_accept = 1
n = 349, r = 0.744095, dH = 0.295586, is_accept = 0
n = 350, r = 1, dH = -0.20586, is_accept = 1
n = 351, r = 1, dH = -0.180081, is_accept = 1
n = 352, r = 0.832748, dH = 0.183025, is_accept = 1
n = 353, r = 0.88684, dH = 0.12009, is_accept = 1
n = 354, r = 1, dH = -0.145255, is_accept = 1
n = 355, r = 0.727795, dH = 0.317737, is_accept = 1
n = 356, r = 1, dH = -0.161698, is_accept = 1
n = 357, r = 0.614186, dH = 0.487458, is_accept = 1
n = 358, r = 0.0840018, dH = 2.47692, is_accept = 0
n = 359, r = 1, dH = -0.0854543, is_accept = 1
n = 360, r = 0.873421, dH = 0.135338, is_accept = 1
n = 361, r = 0.494366, dH = 0.704478, is_accept = 0
n = 362, r = 1, dH = -0.10378, is_accept = 1
n = 363, r = 0.782776, dH = 0.244909, is_accept = 0
n = 364, r = 0.921414, dH = 0.0818455, is_accept = 1
n = 365, r = 0.243738, dH = 1.41166, is_accept = 0
n = 366, r = 0.963421, dH = 0.0372653, is_accept = 1
n = 367, r = 1, dH = -0.124797, is_accept = 1
n = 368, r = 1, dH = -0.0667379, is_accept = 1
n = 369, r = 0.73826, dH = 0.303459, is_accept = 1
n = 370, r = 0.734044, dH = 0.309187, is_accept = 1
n = 371, r = 1, dH = -0.067714, is_accept = 1
n = 372, r = 1, dH = -0.0351479, is_accept = 1
n = 373, r = 1, dH = -0.291231, is_accept = 1
n = 374, r = 1, dH = -0.0796892, is_accept = 1
n = 375, r = 0.85479, dH = 0.1569, is_accept = 1
n = 376, r = 1, dH = -0.292031, is_accept = 1
n = 377, r = 0.790251, dH = 0.235405, is_accept = 1
n = 378, r = 1, dH = -0.501869, is_accept = 1
n = 379, r = 1, dH = -0.111749, is_accept = 1
n = 380, r = 0.256124, dH = 1.36209, is_accept = 0
n = 381, r = 0.590924, dH = 0.526067, is_accept = 1
n = 382, r = 1, dH = -0.49421, is_accept = 1
